freq,word1,word2,word3
3,person,or,entity
3,as,set,forth
3,forth,in,paragraph
3,you,can,do
3,can,do,with
3,the,public,domain
3,If,an,individual
3,outside,the,United
3,to,the,full
3,electronic,work,is
3,permission,of,the
3,of,the,copyright
3,of,the,work
3,this,electronic,work
3,any,Project,Gutenbergtm
3,the,owner,of
3,owner,of,the
3,you,received,the
3,received,the,work
2,of,The,Scarlet
2,Scarlet,Letter,by
2,Letter,by,Nathaniel
2,by,Nathaniel,Hawthorne
2,This,eBook,is
2,eBook,is,for
2,use,of,anyone
2,of,anyone,anywhere
2,anyone,anywhere,at
2,anywhere,at,no
2,at,no,cost
2,no,cost,and
2,cost,and,with
2,and,with,almost
2,with,almost,no
2,almost,no,restrictions
2,no,restrictions,whatsoever
2,restrictions,whatsoever,You
2,whatsoever,You,may
2,You,may,copy
2,may,copy,it
2,copy,it,give
2,it,give,it
2,give,it,away
2,it,away,or
2,away,or,reuse
2,or,reuse,it
2,reuse,it,under
2,it,under,the
2,under,the,terms
2,Project,Gutenberg,License
2,Gutenberg,License,included
2,License,included,with
2,included,with,this
2,with,this,eBook
2,this,eBook,or
2,eBook,or,online
2,online,at,wwwgutenbergnet
2,OF,THIS,PROJECT
2,THIS,PROJECT,GUTENBERG
2,PROJECT,GUTENBERG,EBOOK
2,GUTENBERG,EBOOK,THE
2,EBOOK,THE,SCARLET
2,Produced,by,Markus
2,by,Markus,Brenner
2,Markus,Brenner,Irma
2,Brenner,Irma,Spehar
2,Irma,Spehar,and
2,Spehar,and,the
2,and,the,Online
2,the,Online,Distributed
2,Online,Distributed,Proofreading
2,Distributed,Proofreading,Team
2,Proofreading,Team,at
2,Team,at,httpwwwpgdpnet
2,at,httpwwwpgdpnet,This
2,httpwwwpgdpnet,This,file
2,This,file,was
2,file,was,produced
2,was,produced,from
2,produced,from,images
2,from,images,generously
2,images,generously,made
2,generously,made,available
2,made,available,by
2,available,by,The
2,by,The,Internet
2,The,Internet,ArchiveAmerican
2,Internet,ArchiveAmerican,Libraries
2,BY,NATHANIEL,HAWTHORNE
2,JAMES,R,OSGOOD
2,if,he,may
2,could,hardly,have
2,have,been,more
2,down,the,CustomHouse
2,the,CustomHouse,and
2,to,cherish,a
2,that,he,has
2,with,a,purpose
2,might,be,found
2,to,make,the
2,make,the,best
2,power,for,the
2,which,he,has
2,him,that,the
2,that,the,only
2,and,the,general
2,of,the,characters
2,far,as,his
2,with,a,livelier
2,of,a,word
2,SCARLET,LETTER,I
2,LETTER,I,THE
2,I,THE,PRISONDOOR
2,II,THE,MARKETPLACE
2,III,THE,RECOGNITION
2,IV,THE,INTERVIEW
2,V,HESTER,AT
2,HESTER,AT,HER
2,AT,HER,NEEDLE
2,VII,THE,GOVERNORS
2,THE,GOVERNORS,HALL
2,VIII,THE,ELFCHILD
2,THE,ELFCHILD,AND
2,ELFCHILD,AND,THE
2,AND,THE,MINISTER
2,IX,THE,LEECH
2,X,THE,LEECH
2,XI,THE,INTERIOR
2,THE,INTERIOR,OF
2,INTERIOR,OF,A
2,OF,A,HEART
2,XII,THE,MINISTERS
2,THE,MINISTERS,VIGIL
2,XIII,ANOTHER,VIEW
2,ANOTHER,VIEW,OF
2,VIEW,OF,HESTER
2,XIV,HESTER,AND
2,HESTER,AND,THE
2,AND,THE,PHYSICIAN
2,XV,HESTER,AND
2,HESTER,AND,PEARL
2,XVI,A,FOREST
2,A,FOREST,WALK
2,XVII,THE,PASTOR
2,THE,PASTOR,AND
2,PASTOR,AND,HIS
2,AND,HIS,PARISHIONER
2,XVIII,A,FLOOD
2,A,FLOOD,OF
2,FLOOD,OF,SUNSHINE
2,XIX,THE,CHILD
2,XX,THE,MINISTER
2,THE,MINISTER,IN
2,MINISTER,IN,A
2,IN,A,MAZE
2,XXI,THE,NEW
2,THE,NEW,ENGLAND
2,NEW,ENGLAND,HOLIDAY
2,XXII,THE,PROCESSION
2,XXIII,THE,REVELATION
2,THE,REVELATION,OF
2,REVELATION,OF,THE
2,OF,THE,SCARLET
2,in,my,life
2,my,life,have
2,possession,of,me
2,of,life,in
2,The,truth,seems
2,truth,seems,to
2,to,be,however
2,be,however,that
2,take,it,up
2,far,more,than
2,themselves,in,such
2,to,the,one
2,heart,and,mind
2,it,It,is
2,around,us,and
2,of,a,kind
2,of,the,following
2,my,possession,and
2,the,authenticity,of
2,or,very,little
2,with,the,public
2,a,mode,of
2,at,the,head
2,no,symptoms,of
2,the,track,of
2,seen,in,a
2,with,a,view
2,and,a,half
2,of,the,republic
2,but,with,the
2,and,not,a
2,of,Uncle,Sams
2,half,a,dozen
2,a,flight,of
2,her,breast,and
2,a,bunch,of
2,of,her,beak
2,mischief,to,the
2,best,of,moods
2,of,moods,and
2,round,about,the
2,been,worn,by
2,of,the,year
2,of,that,period
2,be,on,the
2,on,the,verge
2,under,his,arm
2,will,readily,be
2,in,the,scene
2,quest,of,a
2,as,they,sometimes
2,the,group,and
2,back,against,the
2,might,be,heard
2,speech,and,a
2,other,human,beings
2,at,the,receipt
2,the,receipt,of
2,and,of,a
2,looking,across,a
2,glimpses,of,the
2,of,which,are
2,in,a,fashion
2,is,easy,to
2,of,the,place
2,In,the,way
2,of,the,Revenue
2,the,ceiling,and
2,a,medium,of
2,his,elbow,on
2,elbow,on,the
2,of,the,Old
2,Old,Manse,But
2,of,office,and
2,the,force,of
2,of,which,I
2,I,have,never
2,the,features,of
2,the,deep,and
2,struck,into,the
2,into,the,soil
2,the,soil,It
2,and,a,quarter
2,been,born,and
2,no,small,portion
2,small,portion,of
2,for,a,little
2,walk,the,streets
2,which,I,speak
2,better,for,the
2,phase,of,the
2,He,was,a
2,in,the,Church
2,had,all,the
2,good,and,evil
2,him,in,their
2,a,woman,of
2,it,is,to
2,to,be,feared
2,said,to,have
2,to,have,left
2,under,the,heavy
2,another,state,of
2,I,have,heard
2,of,the,race
2,either,of,these
2,after,so,long
2,so,long,a
2,lapse,of,years
2,trunk,of,the
2,of,the,family
2,I,have,ever
2,had,ever,been
2,shadow,of,my
2,might,as,well
2,as,they,will
2,of,their,nature
2,in,the,towns
2,I,have,known
2,seldom,or,never
2,the,first,two
2,out,of,sight
2,and,there,about
2,there,about,the
2,about,the,streets
2,for,above,a
2,a,hundred,years
2,returned,from,his
2,human,being,and
2,to,the,spot
2,that,he,is
2,representative,of,the
2,it,were,his
2,still,in,my
2,which,has,become
2,emerging,from,the
2,somewhere,else,My
2,or,as,if
2,for,me,the
2,centre,of,the
2,of,the,United
2,either,in,the
2,had,such,a
2,twenty,years,before
2,of,the,Collector
2,many,an,hour
2,of,danger,and
2,charge,of,my
2,age,and,infirmity
2,out,into,the
2,of,more,than
2,more,than,one
2,than,one,of
2,of,life,had
2,verily,believe,it
2,a,better,world
2,of,the,evil
2,part,of,my
2,that,the,new
2,the,new,Surveyor
2,Surveyor,was,not
2,him,from,the
2,man,of,the
2,According,to,the
2,to,behold,the
2,to,see,a
2,a,century,of
2,an,individual,as
2,individual,as,myself
2,had,been,wont
2,been,wont,to
2,but,could,never
2,in,my,heart
2,to,my,own
2,the,wharves,and
2,that,had,grown
2,had,grown,to
2,among,them,The
2,consciousness,of,being
2,the,moment,that
2,was,no,longer
2,better,part,of
2,my,regard,and
2,favorable,to,the
2,the,growth,of
2,them,all,It
2,all,It,was
2,of,the,human
2,a,row,of
2,common,with,the
2,the,matter,it
2,in,the,other
2,the,first,place
2,found,to,be
2,of,an,intellectual
2,to,have,flung
2,years,ago,and
2,of,this,little
2,of,the,revenue
2,of,the,port
2,at,a,period
2,a,period,of
2,would,be,likely
2,be,likely,to
2,the,CustomHouse,had
2,had,nothing,of
2,of,an,old
2,there,was,very
2,of,intellect,and
2,of,moral,and
2,but,a,few
2,He,had,been
2,the,husband,of
2,the,father,of
2,Collectors,junior,clerk
2,I,used,to
2,was,in,truth
2,I,have,already
2,have,already,said
2,with,all,their
2,in,which,he
2,which,it,had
2,it,had,made
2,his,life,to
2,to,hear,him
2,all,his,energies
2,them,for,the
2,to,bring,the
2,as,that,of
2,to,observe,how
2,in,anger,or
2,event,of,the
2,with,a,certain
2,I,should,be
2,be,glad,to
2,all,men,whom
2,men,whom,I
2,whom,I,have
2,a,CustomHouse,officer
2,which,I,may
2,old,Inspector,was
2,the,end,of
2,of,time,would
2,time,would,be
2,just,as,good
2,and,sit,down
2,There,is,one
2,to,spend,the
2,remainder,of,his
2,only,with,the
2,with,the,assistance
2,across,the,floor
2,beside,the,fireplace
2,he,used,to
2,used,to,sit
2,talk,of,the
2,and,that,it
2,it,was,only
2,only,the,outward
2,medium,of,the
2,substance,of,his
2,it,had,not
2,framework,of,his
2,was,not,yet
2,Here,and,there
2,at,the,old
2,he,had,won
2,had,won,a
2,period,of,his
2,object,to,be
